query,binary euclidean prec,binary euclidean rec,binary euclidean f-measure,binary cosine prec,binary cosine rec,binary cosine f-measure,tf euclidean prec,tf euclidean rec,tf euclidean f-measure,tf cosine prec,tf cosine rec,tf cosine f-measure,tfidf euclidean prec,tfidf euclidean rec,tfidf euclidean f-measure,tfidf cosine prec,tfidf cosine rec,tfidf cosine f-measure
0,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.5,1.0,0.66666666666666663,0.0,0.0,0.0,0.5,1.0,0.66666666666666663
1,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151
2,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151,0.0,0.0,0.0,0.69999999999999996,1.0,0.82352941176470584
3,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
4,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
7,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
8,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
9,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
